Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
199,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,32-328,1990,11,5,648,7.2,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,6,23,11,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,7fecbcdb
200,Jonathan Bamba,fr FRA,FW,Lille,fr Ligue 1,26-358,1996,24,22,1976,22.0,5,5,10,5,0,0,5,0,5.8,5.8,4.8,10.6,84,113,240,0.23,0.23,0.46,0.23,0.46,0.26,0.22,0.48,0.26,0.48,b2bd0f6c
201,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,29-195,1993,19,11,956,10.6,2,2,4,2,0,1,1,0,5.6,4.8,0.9,5.7,10,18,64,0.19,0.19,0.38,0.19,0.38,0.53,0.08,0.61,0.46,0.54,93feac6e
202,Lameck Banda,zm ZAM,FWMF,Lecce,it Serie A,22-049,2001,26,13,1180,13.1,1,1,2,1,0,0,4,0,1.8,1.8,1.0,2.8,54,19,112,0.08,0.08,0.15,0.08,0.15,0.14,0.08,0.21,0.14,0.21,8a6de8c7
203,Filippo Bandinelli,it ITA,MF,Empoli,it Serie A,27-355,1995,26,21,1739,19.3,2,0,2,2,0,0,6,0,1.4,1.4,2.3,3.7,30,77,75,0.10,0.00,0.10,0.10,0.10,0.07,0.12,0.19,0.07,0.19,d44360be
204,Léo Baptistão,br BRA,FWMF,Almería,es La Liga,30-205,1992,21,17,1244,13.8,3,1,4,3,0,0,6,0,3.4,3.4,1.0,4.4,27,38,58,0.22,0.07,0.29,0.22,0.29,0.25,0.07,0.32,0.25,0.32,35f6db55
205,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,24-345,1998,14,4,454,5.0,0,0,0,0,0,0,3,1,0.2,0.2,0.7,0.9,8,33,19,0.00,0.00,0.00,0.00,0.00,0.04,0.14,0.18,0.04,0.18,2886c9b5
206,Antonín Barák,cz CZE,MF,Hellas Verona,it Serie A,28-106,1994,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01efac19
207,Antonín Barák,cz CZE,MF,Fiorentina,it Serie A,28-106,1994,21,14,1235,13.7,2,0,2,2,0,0,3,0,1.8,1.8,1.4,3.2,30,59,71,0.15,0.00,0.15,0.15,0.15,0.13,0.10,0.24,0.13,0.24,01efac19
208,Andrea Barberis,it ITA,MF,Monza,it Serie A,29-098,1993,7,3,316,3.5,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,3,13,0,0.00,0.28,0.28,0.00,0.28,0.03,0.09,0.12,0.03,0.12,32ebfe1e
209,Bradley Barcola,fr FRA,FWMF,Lyon,fr Ligue 1,20-198,2002,18,8,777,8.6,3,3,6,3,0,0,1,0,2.2,2.2,1.9,4.1,30,23,89,0.35,0.35,0.69,0.35,0.69,0.25,0.22,0.47,0.25,0.47,a0d55a09
210,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,22-133,2000,22,18,1678,18.6,0,0,0,0,0,0,5,0,0.4,0.4,0.7,1.0,30,54,79,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,1ddbc7ca
211,Keidi Bare,al ALB,MF,Espanyol,es La Liga,25-203,1997,11,3,330,3.7,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,4,15,6,0.00,0.00,0.00,0.00,0.00,0.14,0.05,0.18,0.14,0.18,03049c8c
212,Nicolò Barella,it ITA,MF,Inter,it Serie A,26-040,1997,25,23,1947,21.6,5,6,11,5,0,0,4,0,2.2,2.2,4.5,6.8,57,143,132,0.23,0.28,0.51,0.23,0.51,0.10,0.21,0.31,0.10,0.31,6928979a
213,Kike Barja,es ESP,FWMF,Osasuna,es La Liga,25-352,1997,15,6,562,6.2,1,2,3,1,0,0,1,0,0.3,0.3,1.2,1.5,33,15,89,0.16,0.32,0.48,0.16,0.48,0.04,0.20,0.24,0.04,0.24,aad53e64
214,Ross Barkley,eng ENG,MFFW,Nice,fr Ligue 1,29-104,1993,19,7,701,7.8,3,2,5,3,0,0,1,0,3.4,3.4,1.2,4.6,18,28,36,0.39,0.26,0.64,0.39,0.64,0.45,0.16,0.61,0.45,0.61,3a24769f
215,Aymen Barkok,ma MAR,MF,Mainz 05,de Bundesliga,24-302,1998,15,2,376,4.2,0,1,1,0,0,0,1,0,0.4,0.4,0.3,0.8,11,25,21,0.00,0.24,0.24,0.00,0.24,0.10,0.08,0.18,0.10,0.18,a2a85828
216,Harvey Barnes,eng ENG,MFFW,Leicester City,eng Premier League,25-100,1997,25,24,2036,22.6,9,1,10,9,0,0,2,0,7.4,7.4,2.1,9.5,73,55,209,0.40,0.04,0.44,0.40,0.44,0.33,0.09,0.42,0.33,0.42,3ea50f67
217,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,23-075,2000,22,16,1432,15.9,2,3,5,2,0,0,4,0,1.9,1.9,2.0,3.9,11,38,33,0.13,0.19,0.31,0.13,0.31,0.12,0.12,0.24,0.12,0.24,00242b75
218,Enzo Barrenechea,ar ARG,MF,Juventus,it Serie A,21-301,2001,2,2,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,0,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,6caffe81
219,Ander Barrenetxea,es ESP,DFFW,Real Sociedad,es La Liga,21-082,2001,10,5,404,4.5,1,0,1,1,0,0,3,0,0.8,0.8,0.0,0.8,6,12,14,0.22,0.00,0.22,0.22,0.22,0.17,0.01,0.17,0.17,0.17,200e89e1
220,Mickaël Barreto,fr FRA,MF,Ajaccio,fr Ligue 1,32-060,1991,11,6,625,6.9,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.7,12,43,33,0.00,0.14,0.14,0.00,0.14,0.04,0.20,0.25,0.04,0.25,e3844ecb
221,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,19-277,2003,10,5,439,4.9,0,1,1,0,0,0,1,0,0.3,0.3,0.6,0.9,11,30,17,0.00,0.21,0.21,0.00,0.21,0.07,0.11,0.19,0.07,0.19,45736cec
222,Musa Barrow,gm GAM,FWMF,Bologna,it Serie A,24-125,1998,21,15,1198,13.3,2,2,4,2,0,0,2,0,2.0,2.0,2.8,4.7,32,28,79,0.15,0.15,0.30,0.15,0.30,0.15,0.21,0.36,0.15,0.36,e5bf73f3
223,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,26-180,1996,25,25,2250,25.0,3,0,3,3,0,0,5,0,1.5,1.5,0.3,1.8,8,66,9,0.12,0.00,0.12,0.12,0.12,0.06,0.01,0.07,0.06,0.07,5a08ee41
224,Toma Baši?,hr CRO,MF,Lazio,it Serie A,26-114,1996,17,4,420,4.7,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.8,11,15,19,0.00,0.00,0.00,0.00,0.00,0.11,0.06,0.17,0.11,0.17,80556f08
225,Gil Bastião Dias,pt POR,FW,Stuttgart,de Bundesliga,26-172,1996,7,6,398,4.4,1,0,1,1,0,0,0,0,0.5,0.5,0.7,1.2,16,14,32,0.23,0.00,0.23,0.23,0.23,0.12,0.15,0.26,0.12,0.26,e61bdd69
226,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,23-340,1999,21,19,1627,18.1,0,2,2,0,0,0,2,0,1.0,1.0,1.7,2.7,36,119,36,0.00,0.11,0.11,0.00,0.11,0.06,0.09,0.15,0.06,0.15,75b86fb3
